"Data Source","IDA Results Measurement System",

"Last Updated Date","2018-09-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Maldives","MDV","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Marshall Islands","MHL","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.280435729731224","","","","","","","","","","0","","","","","0","","",
"Mali","MLI","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.24875279107761","","","","","","","","","","1.42724634539069","","","","","1.48357452836477","","",
"Myanmar","MMR","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.16877930288784","","","","","","","","","","0.925219564855212","","","","","1.21167193776671","","",
"Mongolia","MNG","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.673359966758539","","","","","","","","","","-1.07493057008855","","","","","-0.460409774293154","","",
"Mozambique","MOZ","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.51671489548346","","","","","","","","","","0.551508698264897","","","","","0.546109950205576","","",
"Mauritania","MRT","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","2.65780914908147","","","","","","","","","","2.66352590138406","","","","","2.27392144921188","","",
"Malawi","MWI","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.878374346623616","","","","","","","","","","0.966082462915679","","","","","0.831690744461383","","",
"Niger","NER","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","3.74399186644902","","","","","","","","","","0.975458280366354","","","","","1.00091014913444","","",
"Nigeria","NGA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","2.67800316388612","","","","","","","","","","3.66767838575718","","","","","4.11636532125436","","",
"Nicaragua","NIC","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.67093412325556","","","","","","","","","","2.0072846630341","","","","","1.34270706848153","","",
"Nepal","NPL","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","2.08960648218999","","","","","","","","","","0.698473026845392","","","","","0.466192445962207","","",
"Pakistan","PAK","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.75939187795289","","","","","","","","","","2.24028159516439","","","","","2.39033780596323","","",
"Papua New Guinea","PNG","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.00803216478347224","","","","","","","","","","0.00803862153708224","","","","","0.00813955666633603","","",
"Rwanda","RWA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.788999067606497","","","","","","","","","","-2.63078284360039","","","","","-2.24580996610351","","",
"Sudan","SDN","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.582664527868644","","","","","","","","","","0.618726303154489","","","","","2.7046648803767","","",
"Senegal","SEN","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.492143827138648","","","","","","","","","","0.488223248585101","","","","","0.484352095015666","","",
"Solomon Islands","SLB","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.243617301460162","","","","","","","","","","0.245192159726102","","","","","0.248241751411314","","",
"Sierra Leone","SLE","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.647131598955951","","","","","","","","","","0.691924900380599","","","","","-0.273066326578373","","",
"Somalia","SOM","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.967127567143891","","","","","","","","","","1.07224068995691","","","","","1.10320990276661","","",
"South Sudan","SSD","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sao Tome and Principe","STP","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0.437068290888305","","","","","0.291591528056543","","",
"Syrian Arab Republic","SYR","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-1.50655314322574","","","","","","","","","","-1.28841484866162","","","","","-0.857109256946671","","",
"Chad","TCD","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.580164426968594","","","","","","","","","","1.37512304246641","","","","","1.72198815419641","","",
"Togo","TGO","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","3.37387357355068","","","","","","","","","","5.1309475787219","","","","","6.13548539277001","","",
"Tajikistan","TJK","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.0489118108690576","","","","","","","","","","0","","","","","-0.0324465270884104","","",
"Timor-Leste","TLS","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.2247643573138","","","","","","","","","","1.39598400752232","","","","","1.44974561073187","","",
"Tonga","TON","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Tuvalu","TUV","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Tanzania","TZA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.739432898621644","","","","","","","","","","0.79850605278142","","","","","0.795215816131886","","",
"Uganda","UGA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","2.03264789905143","","","","","","","","","","3.3457960802952","","","","","4.06232608258847","","",
"Uzbekistan","UZB","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.535356890106058","","","","","","","","","","-0.195959080399447","","","","","-0.0163780549832495","","",
"St. Vincent and the Grenadines","VCT","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.392977270220058","","","","","","","","","","-0.378116342765367","","","","","-0.25191897047641","","",
"Vanuatu","VUT","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Samoa","WSM","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-2.77921014168641","","","","","","","","","","0","","","","","0","","",
"Kosovo","XKX","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Zambia","ZMB","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.320102104494552","","","","","","","","","","0.330688438471924","","","","","0.333484047063564","","",
"Zimbabwe","ZWE","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.58357685396116","","","","","","","","","","1.88241913638575","","","","","1.94986134010159","","",
